filename,directory,extension,lines_count,words_count,symbols_count,commits_count,authors_count,creation_date,creation_author,modification_date,modification_author
ObservableCollectionsTest,base/src/commonTest/kotlin/jetbrains/datalore/base/observable/collections/list/,kt,120,363,4026,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
BooleanPropertiesTest,base/src/commonTest/kotlin/jetbrains/datalore/base/observable/property/,kt,68,300,2650,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
DerivedPropertyTest,base/src/commonTest/kotlin/jetbrains/datalore/base/observable/property/,kt,63,189,2034,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
PropertyBindingTest,base/src/commonTest/kotlin/jetbrains/datalore/base/observable/property/,kt,30,86,782,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
PropertySelectionTest,base/src/commonTest/kotlin/jetbrains/datalore/base/observable/property/,kt,73,184,1824,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
PropertyValidationTest,base/src/commonTest/kotlin/jetbrains/datalore/base/observable/property/,kt,32,100,954,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CompositeRegistrationTest,base/src/commonTest/kotlin/jetbrains/datalore/base/registration/,kt,36,93,990,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
RegistrationMapTest,base/src/commonTest/kotlin/jetbrains/datalore/base/registration/,kt,70,175,1954,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
AtomicInteger,base/src/jsMain/kotlin/jetbrains/datalore/base/concurrent/,kt,13,49,375,2,2,10/07/19 09:29:38,I. Seleznev,11/05/19 00:18:45,I. Alshannikov
Lock,base/src/jsMain/kotlin/jetbrains/datalore/base/concurrent/,kt,14,42,321,2,2,07/31/19 13:47:25,I. Kupriyanov,11/05/19 00:18:45,I. Alshannikov
RunnableWithAsync,base/src/jsMain/kotlin/jetbrains/datalore/base/edt/,kt,57,168,1801,4,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
SafeAsync,base/src/jsMain/kotlin/jetbrains/datalore/base/edt/,kt,33,113,1108,4,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
Base64,base/src/jsMain/kotlin/jetbrains/datalore/base/encoding/,kt,20,81,634,5,3,07/12/19 15:51:32,I. Kupriyanov,08/04/21 14:33:33,V. Dovidaytis
DomEventMapper,base/src/jsMain/kotlin/jetbrains/datalore/base/event/dom/,kt,110,330,4011,1,1,09/28/21 22:47:31,I. Kupriyanov,09/28/21 22:47:31,I. Kupriyanov
DomEventUtil,base/src/jsMain/kotlin/jetbrains/datalore/base/event/dom/,kt,115,419,4135,8,3,05/28/19 21:21:27,I. Alshannikov,09/29/21 19:38:58,I. Kupriyanov
DomKeyCodeMapper,base/src/jsMain/kotlin/jetbrains/datalore/base/event/dom/,kt,103,409,3619,3,2,05/28/19 21:21:27,I. Alshannikov,08/04/21 14:33:33,V. Dovidaytis
KeyCodes,base/src/jsMain/kotlin/jetbrains/datalore/base/event/dom/,kt,103,286,2300,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssUnit,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/,kt,17,51,406,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssUnitQualifier,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/,kt,8,35,249,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
HasStringQualifier,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/,kt,10,37,270,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
StyleMap,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/,kt,474,1323,13862,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssAlignItem,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,14,54,444,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssBaseValue,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,19,69,576,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssBorderStyle,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,14,52,424,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssClear,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,13,50,386,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssCursor,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,12,48,387,3,2,05/28/19 21:21:27,I. Alshannikov,10/26/20 23:26:56,I. Seleznev
CssDisplay,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,15,55,450,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssFloat,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,12,48,366,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssFontStyle,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,11,46,356,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssFontWeight,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,13,50,403,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssLineCap,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,10,41,288,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssLineJoin,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,10,41,291,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssOutlineStyle,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,18,60,517,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssOverflow,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,21,66,604,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssPointerEvents,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,11,46,352,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssPosition,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,20,63,576,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssTextAlign,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,10,41,294,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssTextBaseLine,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,10,41,303,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssVerticalAlign,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,17,58,508,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssVisibility,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,12,48,387,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CssWhiteSpace,base/src/jsMain/kotlin/jetbrains/datalore/base/js/css/enumerables/,kt,14,54,431,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
DomApi,base/src/jsMain/kotlin/jetbrains/datalore/base/js/dom/,kt,120,228,2884,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
DomBaseEvent,base/src/jsMain/kotlin/jetbrains/datalore/base/js/dom/,kt,16,55,437,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
DomCharacterData,base/src/jsMain/kotlin/jetbrains/datalore/base/js/dom/,kt,10,40,282,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
DomCollection,base/src/jsMain/kotlin/jetbrains/datalore/base/js/dom/,kt,10,42,293,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
DomCollectionIterator,base/src/jsMain/kotlin/jetbrains/datalore/base/js/dom/,kt,18,64,560,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
DomConsole,base/src/jsMain/kotlin/jetbrains/datalore/base/js/dom/,kt,10,39,262,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
DomContext2d,base/src/jsMain/kotlin/jetbrains/datalore/base/js/dom/,kt,10,40,300,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
DomDataTransfer,base/src/jsMain/kotlin/jetbrains/datalore/base/js/dom/,kt,10,40,277,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
DomDocument,base/src/jsMain/kotlin/jetbrains/datalore/base/js/dom/,kt,16,54,411,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
DomDragEvent,base/src/jsMain/kotlin/jetbrains/datalore/base/js/dom/,kt,10,40,270,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
DomElement,base/src/jsMain/kotlin/jetbrains/datalore/base/js/dom/,kt,72,165,1802,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
DomElementList,base/src/jsMain/kotlin/jetbrains/datalore/base/js/dom/,kt,21,64,597,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
DomEventListener,base/src/jsMain/kotlin/jetbrains/datalore/base/js/dom/,kt,16,65,518,4,3,05/28/19 21:21:27,I. Alshannikov,05/26/20 23:23:30,I. Kupriyanov
DomEventTarget,base/src/jsMain/kotlin/jetbrains/datalore/base/js/dom/,kt,86,268,2882,3,2,05/28/19 21:21:27,I. Alshannikov,05/26/20 23:23:30,I. Kupriyanov
DomEventType,base/src/jsMain/kotlin/jetbrains/datalore/base/js/dom/,kt,58,268,3268,3,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
